rental_id;car_id;checkin_type;state;delay_at_checkout_in_minutes;previous_ended_rental_id;time_delta_with_previous_rental_in_minutes
512970;344211;mobile;ended;;;
513317;358772;connect;ended;-8;;
513369;245884;mobile;canceled;;;
514284;370765;mobile;ended;;;
514494;348178;mobile;ended;-234;;
514502;370437;mobile;ended;379;;
515229;304392;connect;ended;-24;;
515357;376237;mobile;ended;69;;
516962;398697;mobile;ended;-17;;
517348;391056;mobile;canceled;;;
518261;391287;mobile;ended;-7;;
505546;261879;mobile;ended;610;;
506242;388411;mobile;ended;3;;
508535;351024;mobile;ended;102;;
508850;188941;mobile;ended;-179;;
510674;173341;mobile;ended;28;;
511835;350121;mobile;ended;;;
514089;390976;connect;canceled;;;
514474;376574;mobile;ended;81;;
514557;364038;mobile;ended;-1;;
514571;330176;mobile;ended;3;;
515099;391223;mobile;ended;747;;
515156;339993;mobile;ended;8;;
515431;334199;mobile;ended;614;;
515663;366631;mobile;ended;4;;
517051;270740;mobile;ended;;;
517592;382901;mobile;canceled;;;
517677;392485;mobile;ended;28;;
517979;394561;mobile;ended;5;;
519135;383344;connect;ended;69;;
519321;353459;connect;ended;3;;
519540;248539;mobile;ended;;;
519682;296967;connect;ended;-223;;
